,open,close,high,low,volume,money
2016-09-28,159.64,159.61,159.64,159.6,23496700.0,245533637.0
2016-09-29,159.63,159.68,159.68,159.62,21390200.0,226734474.0
2016-09-30,159.69,159.73,159.75,159.69,10694600.0,112742280.0
2016-10-10,159.88,159.93,159.93,159.86,48413600.0,506320866.0
2016-10-11,159.94,159.97,159.97,159.93,40192200.0,426128158.0
2016-10-12,159.98,159.97,159.98,159.94,36916700.0,391144546.0
2016-10-13,159.99,159.99,160.01,159.95,17861300.0,190573244.0
2016-10-14,160.0,160.03,160.03,159.96,31595400.0,340346611.0
2016-10-17,160.07,160.09,160.09,160.06,12634500.0,132678219.0
2016-10-18,160.1,160.13,160.14,160.09,15824700.0,166071776.0
2016-10-19,160.15,160.38,160.39,160.14,59159800.0,631106903.0
2016-10-20,160.4,160.56,160.57,160.4,38142500.0,413838375.0
2016-10-21,160.58,160.67,160.67,160.58,39064900.0,419937454.0
2016-10-24,160.71,160.66,160.73,160.61,18850700.0,201765183.0
2016-10-25,160.68,160.67,160.68,160.66,15416700.0,164533430.0
2016-10-26,160.69,160.65,160.69,160.65,36664600.0,392510773.0
2016-10-27,160.67,160.67,160.68,160.59,52853800.0,566739028.0
2016-10-28,160.69,160.71,160.72,160.68,16610700.0,179914521.0
2016-10-31,160.76,160.72,160.76,160.72,43268700.0,463738407.0
2016-11-01,160.74,160.72,160.74,160.69,14504100.0,153912170.0
2016-11-02,160.73,160.72,160.75,160.72,16689600.0,175745079.0
2016-11-03,160.74,160.79,160.79,160.72,65429300.0,703283489.0
2016-11-04,160.8,160.82,160.82,160.78,22704400.0,243857420.0
2016-11-07,160.86,160.77,160.86,160.76,32379800.0,341304494.0
2016-11-08,160.79,160.79,160.83,160.75,26599800.0,282591918.0
2016-11-09,160.8,160.82,160.83,160.8,20146800.0,214514025.0
2016-11-10,160.83,160.79,160.83,160.78,31932800.0,338722822.0
2016-11-11,160.81,160.77,160.81,160.76,20146800.0,214411840.0
2016-11-14,160.81,160.78,160.82,160.77,30746300.0,327700483.0
2016-11-15,160.79,160.71,160.81,160.7,46864600.0,493909124.0
2016-11-16,160.72,160.75,160.76,160.71,15267200.0,160636846.0
2016-11-17,160.77,160.63,160.77,160.6,49219100.0,510364712.0
2016-11-18,160.65,160.63,160.68,160.62,40226800.0,422392914.0
2016-11-21,160.68,160.68,160.68,160.66,4817700.0,50504727.0
2016-11-22,160.69,160.67,160.71,160.65,21422900.0,221966973.0
2016-11-23,160.68,160.73,160.75,160.68,22967200.0,238351905.0
2016-11-24,160.75,160.72,160.75,160.7,23746900.0,248685526.0
2016-11-25,160.74,160.65,160.74,160.65,28384900.0,295476725.0
2016-11-28,160.69,160.64,160.73,160.63,20704700.0,216811778.0
2016-11-29,160.65,160.56,160.66,160.56,23344600.0,245315978.0
2016-11-30,160.58,160.36,160.58,160.35,177712200.0,1789116157.0
2016-12-01,160.38,160.36,160.39,160.3,38881000.0,406300629.0
2016-12-02,160.38,160.4,160.42,160.37,33933900.0,353942628.0
2016-12-05,160.44,160.41,160.45,160.41,12814700.0,134031435.0
2016-12-06,160.43,160.3,160.43,160.27,38780300.0,403700256.0
2016-12-07,160.31,160.28,160.33,160.28,20333800.0,209304596.0
2016-12-08,160.3,160.32,160.34,160.29,35345400.0,365594152.0
